sentence_id,words,labels
0,Play,O
0,Blinding,B-SONG
0,Lights,I-SONG
0,by,O
0,The,B-ARTIST
0,Weeknd,I-ARTIST
0,on,O
0,Spotify,B-APP
1,Put,O
1,on,O
1,Bohemian,B-SONG
1,Rhapsody,I-SONG
1,by,O
1,Queen,B-ARTIST
1,on,O
1,Apple,B-APP
1,Music,I-APP
2,Play,O
2,rock,B-GENRE
2,music,O
2,from,O
2,the,O
2,70s,O
3,Start,O
3,the,O
3,album,O
3,25,B-ALBUM
3,by,O
3,Adele,B-ARTIST
3,on,O
3,YouTube,B-APP
4,Can,O
4,you,O
4,play,O
4,Billie,B-ARTIST
4,Eilish,I-ARTIST
4,from,O
4,the,O
4,album,O
4,Happier,B-ALBUM
4,Than,I-ALBUM
4,Ever,I-ALBUM
4,?,O
5,I'd,O
5,like,O
5,to,O
5,hear,O
5,Drake,B-ARTIST
5,'s,O
5,album,O
5,Scorpion,B-ALBUM
6,Play,O
6,some,O
6,hip,B-GENRE
6,hop,I-GENRE
6,on,O
6,Amazon,B-APP
6,Music,I-APP
7,Launch,O
7,Tidal,B-APP
7,and,O
7,play,O
7,Lose,B-SONG
7,Yourself,I-SONG
7,by,O
7,Eminem,B-ARTIST
8,Give,O
8,me,O
8,some,O
8,jazz,B-GENRE
8,from,O
8,Miles,B-ARTIST
8,Davis,I-ARTIST
9,Open,O
9,Spotify,B-APP
9,and,O
9,play,O
9,Shape,B-SONG
9,of,I-SONG
9,You,I-SONG
9,by,O
9,Ed,B-ARTIST
9,Sheeran,I-ARTIST
10,Could,O
10,you,O
10,play,O
10,Blinding,B-SONG
10,Lights,I-SONG
10,by,O
10,The,B-ARTIST
10,Weeknd,I-ARTIST
10,on,O
10,Spotify,B-APP
11,Play,O
11,Bohemian,B-SONG
11,Rhapsody,I-SONG
11,on,O
11,Apple,B-APP
11,Music,I-APP
11,by,O
11,Queen,B-ARTIST
12,Start,O
12,streaming,O
12,rock,B-GENRE
12,music,O
12,from,O
12,the,O
12,70s,O
13,I,O
13,want,O
13,the,O
13,album,O
13,25,B-ALBUM
13,by,O
13,Adele,B-ARTIST
13,on,O
13,YouTube,B-APP
14,Can,O
14,you,O
14,stream,O
14,Billie,B-ARTIST
14,Eilish,I-ARTIST
14's,O
14,Happier,B-ALBUM
14,Than,I-ALBUM
14,Ever,I-ALBUM
14,album,O
15,Please,O
15,play,O
15,the,O
15,Scorpion,B-ALBUM
15,album,O
15,by,O
15,Drake,B-ARTIST
16,I,O
16,want,O
16,hip,B-GENRE
16,hop,I-GENRE
16,played,O
16,on,O
16,Amazon,B-APP
16,Music,I-APP
17,Launch,O
17,Tidal,B-APP
17,and,O
17,start,O
17,playing,O
17,Lose,B-SONG
17,Yourself,I-SONG
17,by,O
17,Eminem,B-ARTIST
18,Give,O
18,me,O
18,jazz,B-GENRE
18,tracks,O
18,from,O
18,Miles,B-ARTIST
18,Davis,I-ARTIST
19,Play,O
19,Shape,B-SONG
19,of,I-SONG
19,You,I-SONG
19,by,O
19,Ed,B-ARTIST
19,Sheeran,I-ARTIST
19,on,O
19,Spotify,B-APP
20,Please,O
20,launch,O
20,Spotify,B-APP
20,and,O
20,play,O
20,Blinding,B-SONG
20,Lights,I-SONG
21,Can,O
21,you,O
21,put,O
21,on,O
21,Bohemian,B-SONG
21,Rhapsody,I-SONG
21,by,O
21,Queen,B-ARTIST
22,Play,O
22,some,O
22,classical,B-GENRE
22,music,O
22,from,O
22,the,O
22,1700s,O
23,Start,O
23,Adele,B-ARTIST
23's,O
23,album,O
23,25,B-ALBUM
23,using,O
23,YouTube,B-APP
24,I,O
24,want,O
24,to,O
24,hear,O
24,Billie,B-ARTIST
24,Eilish,I-ARTIST
24's,O
24,Happier,B-ALBUM
24,Than,I-ALBUM
24,Ever,I-ALBUM
25,Play,O
25,Drake,B-ARTIST
25,album,O
25,Scorpion,B-ALBUM
26,Stream,O
26,some,O
26,hip-hop,B-GENRE
26,on,O
26,Amazon,B-APP
26,Music,I-APP
27,Open,O
27,Tidal,B-APP
27,and,O
27,play,O
27,the,O
27,song,O
27,Lose,B-SONG
27,Yourself,I-SONG
28,I,O
28,want,O
28,to,O
28,listen,O
28,to,O
28,jazz,B-GENRE
28,by,O
28,Miles,B-ARTIST
28,Davis,I-ARTIST
29,Can,O
29,you,O
29,play,O
29,Shape,B-SONG
29,of,I-SONG
29,You,I-SONG
29,on,O
29,Spotify,B-APP
29,please,O
30,Hey,O
30,play,O
30,Blinding,B-SONG
30,Lights,I-SONG
30,by,O
30,The,B-ARTIST
30,Weeknd,I-ARTIST
31,I'd,O
31,like,O
31,you,O
31,to,O
31,put,O
31,on,O
31,Bohemian,B-SONG
31,Rhapsody,I-SONG
31,by,O
31,Queen,B-ARTIST
32,Could,O
32,you,O
32,find,O
32,rock,B-GENRE
32,tracks,O
32,from,O
32,the,O
32,70s,O
33,Please,O
33,play,O
33,Adele,B-ARTIST
33's,O
33,album,O
33,25,B-ALBUM
33,on,O
33,YouTube,B-APP
34,Start,O
34,the,O
34,album,O
34,Happier,B-ALBUM
34,Than,I-ALBUM
34,Ever,I-ALBUM
34,by,O
34,Billie,B-ARTIST
34,Eilish,I-ARTIST
35,Drake,B-ARTIST
35,album,O
35,Scorpion,B-ALBUM
35,on,O
35,my,O
35,device,O
36,I,O
36,want,O
36,hip-hop,B-GENRE
36,streamed,O
36,from,O
36,Amazon,B-APP
36,Music,I-APP
37,Launch,O
37,Tidal,B-APP
37,and,O
37,play,O
37,Eminem,B-ARTIST
37's,O
37,Lose,B-SONG
37,Yourself,I-SONG
38,Can,O
38,you,O
38,play,O
38,jazz,B-GENRE
38,by,O
38,Miles,B-ARTIST
38,Davis,I-ARTIST
39,Play,O
39,Shape,B-SONG
39,of,I-SONG
39,You,I-SONG
39,using,O
39,Spotify,B-APP
40,Play,O
40,Let,B-SONG
40,It,I-SONG
40,Be,I-SONG
40,by,O
40,The,B-ARTIST
40,Beatles,I-ARTIST
41,Can,O
41,you,O
41,put,O
41,on,O
41,Hey,B-SONG
41,Jude,I-SONG
41,by,O
41,The,B-ARTIST
41,Beatles,I-ARTIST
42,Stream,O
42,Rolling,B-SONG
42,in,I-SONG
42,the,I-SONG
42,Deep,I-SONG
42,by,O
42,Adele,B-ARTIST
43,Start,O
43,the,O
43,album,O
43,DAMN,B-ALBUM
43,by,O
43,Kendrick,B-ARTIST
43,Lamar,I-ARTIST
44,Play,O
44,some,O
44,pop,B-GENRE
44,songs,O
45,I'd,O
45,like,O
45,to,O
45,listen,O
45,to,O
45,The,B-ARTIST
45,Chainsmokers,I-ARTIST
45,on,O
45,Tidal,B-APP
46,Open,O
46,YouTube,B-APP
46,and,O
46,play,O
46,Roar,B-SONG
46,by,O
46,Katy,B-ARTIST
46,Perry,I-ARTIST
47,Put,O
47,on,O
47,Despacito,B-SONG
47,by,O
47,Luis,B-ARTIST
47,Fonsi,I-ARTIST
48,Launch,O
48,Spotify,B-APP
48,and,O
48,stream,O
48,Hotline,B-SONG
48,Bling,I-SONG
48,by,O
48,Drake,B-ARTIST
49,I,O
49,want,O
49,to,O
49,hear,O
49,BTS,B-ARTIST
49,songs,O
50,Play,O
50,Butter,B-SONG
50,by,O
50,BTS,B-ARTIST
51,Put,O
51,on,O
51,Shape,B-SONG
51,of,I-SONG
51,You,I-SONG
51,on,O
51,Apple,B-APP
51,Music,I-APP
52,Stream,O
52,the,O
52,album,O
52,Folklore,B-ALBUM
52,by,O
52,Taylor,B-ARTIST
52,Swift,I-ARTIST
53,I,O
53,want,O
53,to,O
53,play,O
53,Sunflower,B-SONG
53,by,O
53,Post,B-ARTIST
53,Malone,I-ARTIST
54,Play,O
54,Humble,B-SONG
54,by,O
54,Kendrick,B-ARTIST
54,Lamar,I-ARTIST
55,Can,O
55,you,O
55,launch,O
55,Spotify,B-APP
55,and,O
55,play,O
55,God's,B-SONG
55,Plan,I-SONG
56,Start,O
56,some,O
56,rap,B-GENRE
56,music,O
57,Open,O
57,Amazon,B-APP
57,Music,I-APP
57,and,O
57,play,O
57,Believer,B-SONG
57,by,O
57,Imagine,B-ARTIST
57,Dragons,I-ARTIST
58,Give,O
58,me,O
58,some,O
58,electronic,B-GENRE
58,beats,O
59,Launch,O
59,YouTube,B-APP
59,and,O
59,stream,O
59,Shallow,B-SONG
59,by,O
59,Lady,B-ARTIST
59,Gaga,I-ARTIST
60,I,O
60,want,O
60,Queen,B-ARTIST
60,to,O
60,play,O
60,on,O
60,Spotify,B-APP
61,Play,O
61,the,O
61,album,O
61,Divide,B-ALBUM
61,by,O
61,Ed,B-ARTIST
61,Sheeran,I-ARTIST
62,Can,O
62,you,O
62,play,O
62,Happy,B-SONG
62,by,O
62,Pharrell,B-ARTIST
62,Williams,I-ARTIST
63,Put,O
63,on,O
63,Thriller,B-SONG
63,by,O
63,Michael,B-ARTIST
63,Jackson,I-ARTIST
64,Stream,O
64,the,O
64,album,O
64,Reputation,B-ALBUM
64,by,O
64,Taylor,B-ARTIST
64,Swift,I-ARTIST
65,Open,O
65,Tidal,B-APP
65,and,O
65,play,O
65,Dynamite,B-SONG
65,by,O
65,BTS,B-ARTIST
66,Launch,O
66,Amazon,B-APP
66,Music,I-APP
66,to,O
66,play,O
66,Senorita,B-SONG
66,by,O
66,Shawn,B-ARTIST
66,Mendes,I-ARTIST
67,I,O
67,want,O
67,some,O
67,classical,B-GENRE
67,music,O
68,Play,O
68,Smooth,B-SONG
68,Criminal,I-SONG
68,by,O
68,Michael,B-ARTIST
68,Jackson,I-ARTIST
69,Put,O
69,on,O
69,the,O
69,album,O
69,Lover,B-ALBUM
69,by,O
69,Taylor,B-ARTIST
69,Swift,I-ARTIST
70,Stream,O
70,rock,B-GENRE
70,hits,O
70,from,O
70,the,O
70,80s,O
71,I'd,O
71,like,O
71,to,O
71,hear,O
71,Stayin',B-SONG
71,Alive,I-SONG
71,by,O
71,Bee,B-ARTIST
71,Gees,I-ARTIST
72,Launch,O
72,Spotify,B-APP
72,and,O
72,queue,O
72,Perfect,B-SONG
72,by,O
72,Ed,B-ARTIST
72,Sheeran,I-ARTIST
73,Can,O
73,you,O
73,play,O
73,Sucker,B-SONG
73,by,O
73,Jonas,B-ARTIST
73,Brothers,I-ARTIST
74,Put,O
74,on,O
74,Lucid,B-SONG
74,Dreams,I-SONG
74,by,O
74,Juice,B-ARTIST
74,WRLD,I-ARTIST
75,Stream,O
75,the,O
75,album,O
75,Purpose,B-ALBUM
75,by,O
75,Justin,B-ARTIST
75,Bieber,I-ARTIST
76,I,O
76,want,O
76,to,O
76,listen,O
76,to,O
76,Imagine,B-ARTIST
76,Dragons,I-ARTIST
76,tracks,O
77,Play,O
77,Someone,B-SONG
77,You,I-SONG
77,Loved,I-SONG
77,by,O
77,Lewis,B-ARTIST
77,Capaldi,I-ARTIST
78,Open,O
78,Apple,B-APP
78,Music,I-APP
78,and,O
78,stream,O
78,Levitating,B-SONG
78,by,O
78,Dua,B-ARTIST
78,Lipa,I-ARTIST
79,Give,O
79,me,O
79,hip,B-GENRE
79,hop,I-GENRE
79,from,O
79,the,O
79,2000s,O
80,Start,O
80,Blinding,B-SONG
80,Lights,I-SONG
80,again,O
80,on,O
80,Spotify,B-APP
81,Play,O
81,drivers,B-SONG
81,license,I-SONG
81,by,O
81,Olivia,B-ARTIST
81,Rodrigo,I-ARTIST
82,Put,O
82,on,O
82,the,O
