epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7353,1.31661,3.29828,1.63183,0.68305,0.65581,0.72674,0.4768,1.17387,1.58676,1.4887,0.00330808,0.00330808,0.00330808
2,64.6957,1.17654,1.81636,1.43791,0.60123,0.50493,0.58186,0.35862,1.26273,2.57326,1.61796,0.00657566,0.00657566,0.00657566
3,94.5689,1.23173,1.57409,1.46688,0.02436,0.01907,0.00706,0.00284,3.99148,3.72612,3.71072,0.00977725,0.00977725,0.00977725
4,123.491,1.29489,1.41547,1.51002,0.77887,0.59517,0.71407,0.38652,1.53888,1.65012,1.94703,0.009703,0.009703,0.009703
5,152.597,1.23085,1.16391,1.45133,0.7663,0.6788,0.76093,0.46932,1.31431,1.09603,1.66147,0.009604,0.009604,0.009604
6,181.897,1.17439,1.00974,1.41059,0.78026,0.74658,0.81808,0.53951,1.10646,1.15459,1.48903,0.009505,0.009505,0.009505
7,211.654,1.12883,0.92479,1.38012,0.7992,0.88799,0.9426,0.65708,0.94171,0.74721,1.3587,0.009406,0.009406,0.009406
8,241.289,1.10478,0.86865,1.35973,0.95279,0.9201,0.96427,0.69716,0.93508,0.56461,1.31462,0.009307,0.009307,0.009307
9,272.434,1.07667,0.81248,1.34299,0.90727,0.87401,0.94191,0.67956,0.89168,0.75331,1.29206,0.009208,0.009208,0.009208
10,311.567,1.05234,0.78198,1.32221,0.90977,0.87237,0.95413,0.71643,0.88908,0.60428,1.26354,0.009109,0.009109,0.009109
11,350.311,1.03865,0.76035,1.31179,0.96294,0.94895,0.98059,0.75317,0.80192,0.46491,1.20784,0.00901,0.00901,0.00901
12,389.417,1.00457,0.73535,1.29172,0.93647,0.97099,0.97993,0.74189,0.85967,0.47212,1.26966,0.008911,0.008911,0.008911
13,428.312,0.99239,0.70295,1.28824,0.97436,0.95502,0.97175,0.75234,0.79653,0.43767,1.17782,0.008812,0.008812,0.008812
14,467.278,0.98778,0.69231,1.28416,0.97198,0.97387,0.99034,0.7818,0.77047,0.40809,1.17568,0.008713,0.008713,0.008713
15,505.781,0.96942,0.67488,1.26807,0.97436,0.94525,0.98495,0.77086,0.75811,0.42664,1.18503,0.008614,0.008614,0.008614
16,544.612,0.95972,0.67199,1.26405,0.9556,0.9664,0.98599,0.76553,0.79758,0.42494,1.20139,0.008515,0.008515,0.008515
17,583.333,0.94491,0.64686,1.25345,0.9591,0.92669,0.96137,0.74971,0.83254,0.47571,1.23942,0.008416,0.008416,0.008416
18,622.419,0.93488,0.63771,1.2514,0.99224,0.97547,0.99118,0.7936,0.74143,0.38623,1.16044,0.008317,0.008317,0.008317
19,661.207,0.93443,0.6301,1.24835,0.98893,0.98576,0.98912,0.78977,0.75555,0.3597,1.15348,0.008218,0.008218,0.008218
20,700.268,0.92165,0.62777,1.23958,0.9864,0.98039,0.99142,0.79488,0.72193,0.36495,1.15872,0.008119,0.008119,0.008119
21,738.823,0.91703,0.6186,1.23797,0.98333,0.98201,0.99098,0.81146,0.70225,0.34744,1.12237,0.00802,0.00802,0.00802
22,777.441,0.90223,0.59818,1.2293,0.98951,0.96894,0.9878,0.78337,0.78307,0.36837,1.18767,0.007921,0.007921,0.007921
23,816.422,0.89052,0.59755,1.21946,0.98998,0.9828,0.99128,0.81217,0.69878,0.34156,1.12387,0.007822,0.007822,0.007822
24,855.498,0.8895,0.59165,1.2249,0.99325,0.99188,0.99185,0.81383,0.6878,0.32273,1.11853,0.007723,0.007723,0.007723
25,894.536,0.87239,0.57776,1.213,0.97778,0.96826,0.98973,0.80448,0.70295,0.36345,1.12561,0.007624,0.007624,0.007624
